id,major,classification,attend_company_showcase,rate_company_showcase,feedback_company_showcase,where_found_info,use_any_website_resources,any_dislike_comm,rate_whether_info_sent_timely,rate_documentation,feedback_documentation,date,overall_rating,feedback_what_worked,feedback_what_did_not_work,feedback_career_fair,rate_career_virtual_platform,issues_career_virtual_platform,favorite_features_career_virtual_platform,future_features_career_virtual_platform,other_comm,Year,any_dislike_comm_sentiment_fall_2021,feedback_company_showcase_sentiment_fall_2021,feedback_documentation_sentiment_fall_2021,feedback_what_worked_sentiment_fall_2021,feedback_what_did_not_work_sentiment_fall_2021,feedback_career_fair_sentiment_fall_2021,other_comm_sentiment_fall_2021
1,Petroleum Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Professor/Advisor/TA","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,9,7,,"Day 1 (Wednesday, September 8th), Day 3 (Virtual, September 10th)",8,,,,,,,,,Fall 2021,1,3,3,4,2,4,1
2,Aerospace Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,,,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th)",8,,"Give bigger companies more space or lines will clog walkways, not that hard of a concept",,,,,,,Fall 2021,1,5,4,5,3,3,4
3,Mechanical Engineering,Sophomore,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,,10,,,"Day 1 (Wednesday, September 8th)",10,,"Some companies at the career fair were missing from the online list on your official site, such as Raytheon and Elbit Systems of America",,,,,,,Fall 2021,3,5,4,1,3,3,4
4,Mechanical Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist",,8,8,,"Day 1 (Wednesday, September 8th)",9,,,,,,,,,Fall 2021,1,3,3,4,1,2,4
5,Electronic Systems Engineering Technology,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails",Company Search/Information,,10,10,,"Day 1 (Wednesday, September 8th)",8,,,,,,,,,Fall 2021,1,4,4,4,4,3,2
6,Materials Science and Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,,10,10,some companies did not have meeting times you could join for friday’s virtual event ,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",10,,,,10,,,,,Fall 2021,1,3,3,1,1,5,4
7,Industrial & Systems Engineering,Junior,No,,,College of Engineering Emails,Company Search/Information,,,,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",7,,,,,,,,,Fall 2021,3,2,2,2,3,5,3
8,Industrial & Systems Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates",Company Search/Information,,6,8,,"Day 1 (Wednesday, September 8th)",7,,,,,,,,,Fall 2021,1,2,2,4,3,4,4
9,Mechanical Engineering,Sophomore,,,,College of Engineering Emails,"Company Search/Information, Student Checklist",,10,,,"Day 1 (Wednesday, September 8th)",9,"Check in, variety of companies",,Have water for students ,,,,,,Fall 2021,2,3,5,5,3,4,1
10,Computer Science,Junior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,8,6,,"Day 1 (Wednesday, September 8th)",5,,,,,,,,,Fall 2021,2,3,3,4,2,3,5
